time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2022-05-01 00:00,539.678,488.126,0.000,0.000,,,
2022-05-01 00:15,539.689,488.126,0.000,0.000,,,
2022-05-01 00:30,539.699,488.126,0.000,0.000,,,
2022-05-01 00:45,539.710,488.126,0.000,0.000,,,
2022-05-01 01:00,539.722,488.126,0.000,0.000,,,
2022-05-01 01:15,539.750,488.126,0.000,0.000,,,
2022-05-01 01:30,539.775,488.126,0.000,0.000,,,
2022-05-01 01:45,539.793,488.126,0.000,0.000,,,
2022-05-01 02:00,539.804,488.126,0.000,0.000,,,
2022-05-01 02:15,539.814,488.126,0.000,0.000,,,
2022-05-01 02:30,539.825,488.126,0.000,0.000,,,
2022-05-01 02:45,539.838,488.126,0.000,0.000,,,
2022-05-01 03:00,539.866,488.126,0.000,0.000,,,
2022-05-01 03:15,539.892,488.126,0.000,0.000,,,
2022-05-01 03:30,539.909,488.126,0.000,0.000,,,
2022-05-01 03:45,539.919,488.126,0.000,0.000,,,
2022-05-01 04:00,539.930,488.126,0.000,0.000,,,
2022-05-01 04:15,539.940,488.126,0.000,0.000,,,
2022-05-01 04:30,539.951,488.126,0.000,0.000,,,
2022-05-01 04:45,539.978,488.126,0.000,0.000,,,
2022-05-01 05:00,540.005,488.126,0.000,0.000,,,
2022-05-01 05:15,540.025,488.126,0.000,0.000,,,
2022-05-01 05:30,540.036,488.126,0.000,0.000,,,
2022-05-01 05:45,540.046,488.126,0.000,0.000,,,
2022-05-01 06:00,540.057,488.126,0.000,0.000,,,
2022-05-01 06:15,540.068,488.126,0.000,0.000,,,
2022-05-01 06:30,540.086,488.126,0.000,0.000,,,
2022-05-01 06:45,540.113,488.126,0.000,0.000,,,
2022-05-01 07:00,540.140,488.126,0.000,0.000,,,
2022-05-01 07:15,540.258,488.126,0.000,0.000,,,
2022-05-01 07:30,540.322,488.126,0.000,0.000,,,
2022-05-01 07:45,540.401,488.126,0.000,0.000,,,
2022-05-01 08:00,540.479,488.126,0.000,0.000,,,
2022-05-01 08:15,540.558,488.126,0.000,0.000,,,
2022-05-01 08:30,540.650,488.126,0.000,0.000,,,
2022-05-01 08:45,540.753,488.126,0.000,0.000,,,
2022-05-01 09:00,540.966,488.126,0.000,0.000,,,
2022-05-01 09:15,541.044,488.126,0.000,0.000,,,
2022-05-01 09:30,541.072,488.126,0.000,0.000,,,
2022-05-01 09:45,541.099,488.126,0.000,0.000,,,
2022-05-01 10:00,541.145,488.126,0.000,0.000,,,
2022-05-01 10:15,541.539,488.126,0.000,0.000,,,
2022-05-01 10:30,542.065,488.126,0.000,0.000,,,
2022-05-01 10:45,542.557,488.126,0.000,0.000,,,
2022-05-01 11:00,542.952,488.126,0.000,0.000,,,
2022-05-01 11:15,543.029,488.126,0.000,0.000,,,
2022-05-01 11:30,543.454,488.126,0.000,0.000,,,
2022-05-01 11:45,543.660,488.126,0.000,0.000,,,
2022-05-01 12:00,543.693,488.126,0.000,0.000,,,
2022-05-01 12:15,543.742,488.126,0.000,0.000,,,
2022-05-01 12:30,543.790,488.126,0.000,0.000,,,
2022-05-01 12:45,543.878,488.126,0.000,0.000,,,
2022-05-01 13:00,544.046,488.126,0.000,0.000,,,
2022-05-01 13:15,544.233,488.126,0.000,0.000,,,
2022-05-01 13:30,544.269,488.126,0.000,0.000,,,
2022-05-01 13:45,544.303,488.126,0.000,0.000,,,
2022-05-01 14:00,544.341,488.126,0.000,0.000,,,
2022-05-01 14:15,544.392,488.126,0.000,0.000,,,
2022-05-01 14:30,544.447,488.126,0.000,0.000,,,
2022-05-01 14:45,544.583,488.126,0.000,0.000,,,
2022-05-01 15:00,544.616,488.126,0.000,0.000,,,
2022-05-01 15:15,544.650,488.126,0.000,0.000,,,
2022-05-01 15:30,544.681,488.126,0.000,0.000,,,
2022-05-01 15:45,544.702,488.126,0.000,0.000,,,
2022-05-01 16:00,544.739,488.126,0.000,0.000,,,
2022-05-01 16:15,544.775,488.126,0.000,0.000,,,
2022-05-01 16:30,544.809,488.126,0.000,0.000,,,
2022-05-01 16:45,544.830,488.126,0.000,0.000,,,
2022-05-01 17:00,544.852,488.126,0.000,0.000,,,
2022-05-01 17:15,544.876,488.126,0.000,0.000,,,
2022-05-01 17:30,544.902,488.126,0.000,0.000,,,
2022-05-01 17:45,544.926,488.126,0.000,0.000,,,
