EAN;Datum;Van;Tot;Btw-percentage;Verbruik: Beginstand;Verbruik: Eindstand;Verbruik in kWh;Marktprijs (excl btw) in EUR/kWh;Verbruik: Inkoopvergoeding (excl btw) in EUR/kWh;Kosten in EUR (marktprijs * verbruik) (excl btw);Kosten in EUR ((Marktprijs + inkoopvergoeding) * verbruik) (excl btw);Kosten in EUR ((marktprijs + inkoopvergoeding) * verbruik) (incl btw);Teruglevering: Beginstand;Teruglevering: Eindstand;Teruglevering in kWh;Teruglevering: Inkoopvergoeding (excl btw) in EUR/kWh;Teruglevering: Opbrengst in EUR (marktprijs * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (incl btw)
871687460010148427;2025-03-01;00:00;01:00;21%;10.434,818;10.434,938;0,12000;0,12647;0,01500;0,01518;0,01698;0,02054;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;01:00;02:00;21%;10.434,938;10.435,023;0,08500;0,11947;0,01500;0,01015;0,01143;0,01383;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;02:00;03:00;21%;10.435,023;10.435,157;0,13400;0,11661;0,01500;0,01563;0,01764;0,02134;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;03:00;04:00;21%;10.435,157;10.435,274;0,11700;0,10990;0,01500;0,01286;0,01461;0,01768;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;04:00;05:00;21%;10.435,274;10.435,393;0,11900;0,10805;0,01500;0,01286;0,01464;0,01772;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;05:00;06:00;21%;10.435,393;10.435,512;0,11900;0,11188;0,01500;0,01331;0,01510;0,01827;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;06:00;07:00;21%;10.435,512;10.435,631;0,11900;0,11710;0,01500;0,01393;0,01572;0,01902;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;07:00;08:00;21%;10.435,631;10.435,76;0,12900;0,13382;0,01500;0,01726;0,01920;0,02323;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;08:00;09:00;21%;10.435,76;10.435,894;0,13400;0,13625;0,01500;0,01826;0,02027;0,02452;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;09:00;10:00;21%;10.435,894;10.436,024;0,13000;0,13348;0,01500;0,01735;0,01930;0,02336;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;10:00;11:00;21%;10.436,024;10.436,283;0,25900;0,11944;0,01500;0,03093;0,03482;0,04213;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;11:00;12:00;21%;10.436,283;10.437,094;0,81100;0,10643;0,01500;0,08631;0,09848;0,11916;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;12:00;13:00;21%;10.437,094;10.437,248;0,15400;0,09863;0,01500;0,01519;0,01750;0,02117;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;13:00;14:00;21%;10.437,248;10.437,376;0,12800;0,09141;0,01500;0,01170;0,01362;0,01648;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;14:00;15:00;21%;10.437,376;10.437,569;0,19300;0,08910;0,01500;0,01720;0,02009;0,02431;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;15:00;16:00;21%;10.437,569;10.438,341;0,77200;0,09640;0,01500;0,07442;0,08600;0,10406;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;16:00;17:00;21%;10.438,341;10.438,767;0,42600;0,11354;0,01500;0,04837;0,05476;0,06626;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;17:00;18:00;21%;10.438,767;10.438,996;0,22900;0,13481;0,01500;0,03087;0,03431;0,04151;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;18:00;19:00;21%;10.438,996;10.439,239;0,24300;0,15200;0,01500;0,03694;0,04058;0,04910;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;19:00;20:00;21%;10.439,239;10.439,542;0,30300;0,14676;0,01500;0,04447;0,04901;0,05931;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;20:00;21:00;21%;10.439,542;10.439,756;0,21400;0,13341;0,01500;0,02855;0,03176;0,03843;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;21:00;22:00;21%;10.439,756;10.440,035;0,27900;0,12543;0,01500;0,03499;0,03918;0,04741;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-03-01;22:00;23:00;21%;10.440,035;10.440,187;0,15200;0,12203;0,01500;0,01855;0,02083;0,02520;0,02;0,02;0,00000;0,01050;0,00000;0,00000;0,00000
