EAN;Datum;Van;Tot;Btw-percentage;Verbruik: Beginstand;Verbruik: Eindstand;Verbruik in kWh;Marktprijs (excl btw) in EUR/kWh;Verbruik: Inkoopvergoeding (excl btw) in EUR/kWh;Kosten in EUR (marktprijs * verbruik) (excl btw);Kosten in EUR ((Marktprijs + inkoopvergoeding) * verbruik) (excl btw);Kosten in EUR ((marktprijs + inkoopvergoeding) * verbruik) (incl btw);Teruglevering: Beginstand;Teruglevering: Eindstand;Teruglevering in kWh;Teruglevering: Inkoopvergoeding (excl btw) in EUR/kWh;Teruglevering: Opbrengst in EUR (marktprijs * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (incl btw)
871687460010148427;2025-02-01;00:00;01:00;21%;10.276,324;10.276,447;0,12300;0,13700;0,01500;0,01685;0,01870;0,02262;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;01:00;02:00;21%;10.276,447;10.276,568;0,12100;0,12948;0,01500;0,01567;0,01748;0,02115;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;02:00;03:00;21%;10.276,568;10.276,683;0,11500;0,12428;0,01500;0,01429;0,01602;0,01938;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;03:00;04:00;21%;10.276,683;10.276,757;0,07400;0,11872;0,01500;0,00879;0,00990;0,01197;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;04:00;05:00;21%;10.276,757;10.276,887;0,13000;0,11620;0,01500;0,01511;0,01706;0,02064;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;05:00;06:00;21%;10.276,887;10.277,004;0,11700;0,11822;0,01500;0,01383;0,01559;0,01886;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;06:00;07:00;21%;10.277,004;10.277,124;0,12000;0,12661;0,01500;0,01519;0,01699;0,02056;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;07:00;08:00;21%;10.277,124;10.277,251;0,12700;0,14474;0,01500;0,01838;0,02029;0,02455;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;08:00;09:00;21%;10.277,251;10.277,394;0,14300;0,15346;0,01500;0,02194;0,02409;0,02915;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;09:00;10:00;21%;10.277,394;10.277,522;0,12800;0,14244;0,01500;0,01823;0,02015;0,02438;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;10:00;11:00;21%;10.277,522;10.277,609;0,08700;0,12840;0,01500;0,01117;0,01248;0,01510;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;11:00;12:00;21%;10.277,609;10.278,356;0,74700;0,12008;0,01500;0,08970;0,10090;0,12209;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;12:00;13:00;21%;10.278,356;10.280,394;2,03800;0,11029;0,01500;0,22477;0,25534;0,30896;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;13:00;14:00;21%;10.280,394;10.280,973;0,57900;0,10340;0,01500;0,05987;0,06855;0,08295;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;14:00;15:00;21%;10.280,973;10.281,407;0,43400;0,11370;0,01500;0,04935;0,05586;0,06759;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;15:00;16:00;21%;10.281,407;10.281,615;0,20800;0,12673;0,01500;0,02636;0,02948;0,03567;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;16:00;17:00;21%;10.281,615;10.281,942;0,32700;0,14946;0,01500;0,04887;0,05378;0,06507;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;17:00;18:00;21%;10.281,942;10.282,375;0,43300;0,16339;0,01500;0,07075;0,07724;0,09346;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;18:00;19:00;21%;10.282,375;10.282,991;0,61600;0,16577;0,01500;0,10211;0,11135;0,13474;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;19:00;20:00;21%;10.282,991;10.283,503;0,51200;0,16298;0,01500;0,08345;0,09113;0,11026;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;20:00;21:00;21%;10.283,503;10.284,068;0,56500;0,15660;0,01500;0,08848;0,09695;0,11731;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;21:00;22:00;21%;10.284,068;10.284,364;0,29600;0,14524;0,01500;0,04299;0,04743;0,05739;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;22:00;23:00;21%;10.284,364;10.284,493;0,12900;0,14173;0,01500;0,01828;0,02022;0,02446;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-01;23:00;00:00;21%;10.284,493;10.284,606;0,11300;0,13174;0,01500;0,01489;0,01658;0,02006;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;00:00;01:00;21%;10.284,606;10.284,697;0,09100;0,13326;0,01500;0,01213;0,01349;0,01632;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;01:00;02:00;21%;10.284,697;10.284,822;0,12500;0,12691;0,01500;0,01586;0,01774;0,02146;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;02:00;03:00;21%;10.284,822;10.284,945;0,12300;0,12299;0,01500;0,01513;0,01697;0,02054;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;03:00;04:00;21%;10.284,945;10.285,067;0,12200;0,12066;0,01500;0,01472;0,01655;0,02003;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;04:00;05:00;21%;10.285,067;10.285,186;0,11900;0,12234;0,01500;0,01456;0,01634;0,01978;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;05:00;06:00;21%;10.285,186;10.285,299;0,11300;0,12341;0,01500;0,01395;0,01564;0,01892;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;06:00;07:00;21%;10.285,299;10.285,411;0,11200;0,12809;0,01500;0,01435;0,01603;0,01939;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;07:00;08:00;21%;10.285,411;10.285,499;0,08800;0,13590;0,01500;0,01196;0,01328;0,01607;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;08:00;09:00;21%;10.285,499;10.285,628;0,12900;0,13730;0,01500;0,01771;0,01965;0,02377;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;09:00;10:00;21%;10.285,628;10.286,454;0,82600;0,13770;0,01500;0,11374;0,12613;0,15262;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;10:00;11:00;21%;10.286,454;10.286,738;0,28400;0,13004;0,01500;0,03693;0,04119;0,04984;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;11:00;12:00;21%;10.286,738;10.286,91;0,17200;0,12933;0,01500;0,02224;0,02482;0,03004;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;12:00;13:00;21%;10.286,91;10.287,078;0,16800;0,12224;0,01500;0,02054;0,02306;0,02790;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;13:00;14:00;21%;10.287,078;10.287,42;0,34200;0,11188;0,01500;0,03826;0,04339;0,05251;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;14:00;15:00;21%;10.287,42;10.288,058;0,63800;0,11536;0,01500;0,07360;0,08317;0,10064;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;15:00;16:00;21%;10.288,058;10.288,221;0,16300;0,12401;0,01500;0,02021;0,02266;0,02742;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;16:00;17:00;21%;10.288,221;10.288,858;0,63700;0,14394;0,01500;0,09169;0,10124;0,12251;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;17:00;18:00;21%;10.288,858;10.289,881;1,02300;0,15944;0,01500;0,16311;0,17845;0,21593;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;18:00;19:00;21%;10.289,881;10.290,692;0,81100;0,17120;0,01500;0,13884;0,15101;0,18272;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;19:00;20:00;21%;10.290,692;10.290,934;0,24200;0,17395;0,01500;0,04210;0,04573;0,05533;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;20:00;21:00;21%;10.290,934;10.291,176;0,24200;0,16550;0,01500;0,04005;0,04368;0,05285;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;21:00;22:00;21%;10.291,176;10.291,291;0,11500;0,15577;0,01500;0,01791;0,01964;0,02376;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;22:00;23:00;21%;10.291,291;10.291,439;0,14800;0,14844;0,01500;0,02197;0,02419;0,02927;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-02;23:00;00:00;21%;10.291,439;10.292,223;0,78400;0,13324;0,01500;0,10446;0,11622;0,14063;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-03;00:00;01:00;21%;10.292,223;10.292,745;0,52200;0,12954;0,01500;0,06762;0,07545;0,09129;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-02-03;01:00;02:00;21%;10.292,745;10.292,862;0,11700;0,12663;0,01500;0,01482;0,01657;0,02005;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
