EAN;Datum;Van;Tot;Btw-percentage;Verbruik: Beginstand;Verbruik: Eindstand;Verbruik in kWh;Marktprijs (excl btw) in EUR/kWh;Verbruik: Inkoopvergoeding (excl btw) in EUR/kWh;Kosten in EUR (marktprijs * verbruik) (excl btw);Kosten in EUR ((Marktprijs + inkoopvergoeding) * verbruik) (excl btw);Kosten in EUR ((marktprijs + inkoopvergoeding) * verbruik) (incl btw);Teruglevering: Beginstand;Teruglevering: Eindstand;Teruglevering in kWh;Teruglevering: Inkoopvergoeding (excl btw) in EUR/kWh;Teruglevering: Opbrengst in EUR (marktprijs * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (incl btw)
871687460010148427;2025-01-01;00:00;01:00;21%;10.116,885;10.117,003;0,11800;0,01362;0,01500;0,00161;0,00338;0,00409;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;01:00;02:00;21%;10.117,003;10.117,118;0,11500;0,00624;0,01500;0,00072;0,00244;0,00296;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;02:00;03:00;21%;10.117,118;10.117,233;0,11500;0,00416;0,01500;0,00048;0,00220;0,00267;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;03:00;04:00;21%;10.117,233;10.117,347;0,11400;0,00328;0,01500;0,00037;0,00208;0,00252;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;04:00;05:00;21%;10.117,347;10.117,459;0,11200;0,00068;0,01500;0,00008;0,00176;0,00212;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;05:00;06:00;21%;10.117,459;10.117,566;0,10700;0,00000;0,01500;0,00000;0,00161;0,00194;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;06:00;07:00;21%;10.117,566;10.117,636;0,07000;0,00076;0,01500;0,00005;0,00110;0,00133;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;07:00;08:00;21%;10.117,636;10.117,758;0,12200;0,00079;0,01500;0,00010;0,00193;0,00233;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;08:00;09:00;21%;10.117,758;10.117,864;0,10600;0,00189;0,01500;0,00020;0,00179;0,00217;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;09:00;10:00;21%;10.117,864;10.117,971;0,10700;0,00750;0,01500;0,00080;0,00241;0,00291;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;10:00;11:00;21%;10.117,971;10.118,086;0,11500;0,02732;0,01500;0,00314;0,00487;0,00589;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;11:00;12:00;21%;10.118,086;10.118,201;0,11500;0,03749;0,01500;0,00431;0,00604;0,00730;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;12:00;13:00;21%;10.118,201;10.118,317;0,11600;0,06010;0,01500;0,00697;0,00871;0,01054;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;13:00;14:00;21%;10.118,317;10.118,402;0,08500;0,06332;0,01500;0,00538;0,00666;0,00806;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;14:00;15:00;21%;10.118,402;10.118,526;0,12400;0,04700;0,01500;0,00583;0,00769;0,00930;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;15:00;16:00;21%;10.118,526;10.118,634;0,10800;0,05010;0,01500;0,00541;0,00703;0,00851;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;16:00;17:00;21%;10.118,634;10.118,741;0,10700;0,02764;0,01500;0,00296;0,00456;0,00552;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;17:00;18:00;21%;10.118,741;10.118,848;0,10700;0,07997;0,01500;0,00856;0,01016;0,01230;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;18:00;19:00;21%;10.118,848;10.118,955;0,10700;0,09500;0,01500;0,01017;0,01177;0,01424;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;19:00;20:00;21%;10.118,955;10.119,063;0,10800;0,09500;0,01500;0,01026;0,01188;0,01437;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;20:00;21:00;21%;10.119,063;10.119,17;0,10700;0,08149;0,01500;0,00872;0,01032;0,01249;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;21:00;22:00;21%;10.119,17;10.119,288;0,11800;0,06896;0,01500;0,00814;0,00991;0,01199;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;22:00;23:00;21%;10.119,288;10.119,401;0,11300;0,04637;0,01500;0,00524;0,00693;0,00839;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-01;23:00;00:00;21%;10.119,401;10.119,507;0,10600;0,03800;0,01500;0,00403;0,00562;0,00680;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-02;00:00;01:00;21%;10.119,507;10.119,613;0,10600;0,10194;0,01500;0,01081;0,01240;0,01500;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-02;01:00;02:00;21%;10.119,613;10.119,719;0,10600;0,14695;0,01500;0,01558;0,01717;0,02077;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-02;02:00;03:00;21%;10.119,719;10.119,826;0,10700;0,14844;0,01500;0,01588;0,01749;0,02116;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-02;03:00;04:00;21%;10.119,826;10.119,932;0,10600;0,13800;0,01500;0,01463;0,01622;0,01962;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-02;04:00;05:00;21%;10.119,932;10.120,027;0,09500;0,10010;0,01500;0,00951;0,01093;0,01323;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-02;05:00;06:00;21%;10.120,027;10.120,145;0,11800;0,10747;0,01500;0,01268;0,01445;0,01749;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-02;06:00;07:00;21%;10.120,145;10.120,261;0,11600;0,15468;0,01500;0,01794;0,01968;0,02382;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-01-02;07:00;08:00;21%;10.120,261;10.120,372;0,11100;0,17470;0,01500;0,01939;0,02106;0,02548;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
