EAN;Datum;Van;Tot;Btw-percentage;Verbruik: Beginstand;Verbruik: Eindstand;Verbruik in kWh;Marktprijs (excl btw) in EUR/kWh;Verbruik: Inkoopvergoeding (excl btw) in EUR/kWh;Kosten in EUR (marktprijs * verbruik) (excl btw);Kosten in EUR ((Marktprijs + inkoopvergoeding) * verbruik) (excl btw);Kosten in EUR ((marktprijs + inkoopvergoeding) * verbruik) (incl btw);Teruglevering: Beginstand;Teruglevering: Eindstand;Teruglevering in kWh;Teruglevering: Inkoopvergoeding (excl btw) in EUR/kWh;Teruglevering: Opbrengst in EUR (marktprijs * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (incl btw)
871687460010148427;2024-12-18;00:00;01:00;21%;0;10.080,685;0,11500;0,06871;0,01500;0,00790;0,00963;0,01165;0;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;01:00;02:00;21%;10.080,685;10.080,778;0,09300;0,05212;0,01500;0,00485;0,00624;0,00755;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;02:00;03:00;21%;10.080,778;10.080,902;0,12400;0,04570;0,01500;0,00567;0,00753;0,00911;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;03:00;04:00;21%;10.080,902;10.081,008;0,10600;0,04000;0,01500;0,00424;0,00583;0,00705;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;04:00;05:00;21%;10.081,008;10.081,115;0,10700;0,02622;0,01500;0,00281;0,00441;0,00534;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;05:00;06:00;21%;10.081,115;10.081,221;0,10600;0,03267;0,01500;0,00346;0,00505;0,00611;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;06:00;07:00;21%;10.081,221;10.081,327;0,10600;0,04594;0,01500;0,00487;0,00646;0,00782;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;07:00;08:00;21%;10.081,327;10.081,437;0,11000;0,05734;0,01500;0,00631;0,00796;0,00963;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;08:00;09:00;21%;10.081,437;10.081,543;0,10600;0,07758;0,01500;0,00822;0,00981;0,01187;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;09:00;10:00;21%;10.081,543;10.081,657;0,11400;0,07669;0,01500;0,00874;0,01045;0,01265;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;10:00;11:00;21%;10.081,657;10.081,778;0,12100;0,06862;0,01500;0,00830;0,01012;0,01224;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;11:00;12:00;21%;10.081,778;10.081,885;0,10700;0,06712;0,01500;0,00718;0,00879;0,01063;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;12:00;13:00;21%;10.081,885;10.081,993;0,10800;0,07048;0,01500;0,00761;0,00923;0,01117;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;13:00;14:00;21%;10.081,993;10.082,102;0,10900;0,07000;0,01500;0,00763;0,00927;0,01121;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;14:00;15:00;21%;10.082,102;10.082,21;0,10800;0,07000;0,01500;0,00756;0,00918;0,01111;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;15:00;16:00;21%;10.082,21;10.082,318;0,10800;0,07308;0,01500;0,00789;0,00951;0,01151;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2024-12-18;16:00;17:00;21%;10.082,318;10.082,418;0,10000;0,07869;0,01500;0,00787;0,00937;0,01134;0,019;0,019;0,00000;0,01050;0,00000;0,00000;0,00000
