EAN;Datum;Van;Tot;Btw-percentage;Verbruik: Beginstand;Verbruik: Eindstand;Verbruik in kWh;Marktprijs (excl btw) in EUR/kWh;Verbruik: Inkoopvergoeding (excl btw) in EUR/kWh;Kosten in EUR (marktprijs * verbruik) (excl btw);Kosten in EUR ((Marktprijs + inkoopvergoeding) * verbruik) (excl btw);Kosten in EUR ((marktprijs + inkoopvergoeding) * verbruik) (incl btw);Teruglevering: Beginstand;Teruglevering: Eindstand;Teruglevering in kWh;Teruglevering: Inkoopvergoeding (excl btw) in EUR/kWh;Teruglevering: Opbrengst in EUR (marktprijs * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (excl btw);Teruglevering: Opbrengst in EUR ((marktprijs – inkoopvergoeding) * teruglevering) (incl btw)
871687460010148427;2025-04-01;00:00;01:00;21%;10.640,219;10.640,358;0,13900;0,10036;0,01500;0,01395;0,01604;0,01940;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;01:00;02:00;21%;10.640,358;10.640,486;0,12800;0,09307;0,01500;0,01191;0,01383;0,01674;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;02:00;03:00;21%;10.640,486;10.640,609;0,12300;0,09084;0,01500;0,01117;0,01302;0,01575;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;03:00;04:00;21%;10.640,609;10.640,733;0,12400;0,09050;0,01500;0,01122;0,01308;0,01583;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;04:00;05:00;21%;10.640,733;10.640,855;0,12200;0,08871;0,01500;0,01082;0,01265;0,01531;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;05:00;06:00;21%;10.640,855;10.640,978;0,12300;0,09755;0,01500;0,01200;0,01384;0,01675;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;06:00;07:00;21%;10.640,978;10.641,116;0,13800;0,12183;0,01500;0,01681;0,01888;0,02285;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;07:00;08:00;21%;10.641,116;10.641,251;0,13500;0,17574;0,01500;0,02372;0,02575;0,03116;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;08:00;09:00;21%;10.641,251;10.641,382;0,13100;0,15937;0,01500;0,02088;0,02284;0,02764;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;09:00;10:00;21%;10.641,382;10.641,512;0,13000;0,10642;0,01500;0,01383;0,01578;0,01910;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;10:00;11:00;21%;10.641,512;10.641,638;0,12600;0,07750;0,01500;0,00977;0,01166;0,01410;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;11:00;12:00;21%;10.641,638;10.641,765;0,12700;0,05272;0,01500;0,00670;0,00860;0,01041;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;12:00;13:00;21%;10.641,765;10.641,893;0,12800;0,01000;0,01500;0,00128;0,00320;0,00387;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;13:00;14:00;21%;10.641,893;10.641,987;0,09400;-0,02000;0,01500;-0,00188;-0,00047;-0,00057;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;14:00;15:00;21%;10.641,987;10.642,12;0,13300;-0,03000;0,01500;-0,00399;-0,00200;-0,00241;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;15:00;16:00;21%;10.642,12;10.642,255;0,13500;-0,00300;0,01500;-0,00041;0,00162;0,00196;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;16:00;17:00;21%;10.642,255;10.642,386;0,13100;0,04110;0,01500;0,00538;0,00735;0,00889;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
871687460010148427;2025-04-01;17:00;18:00;21%;10.642,386;10.642,518;0,13200;0,06867;0,01500;0,00906;0,01104;0,01336;0,021;0,021;0,00000;0,01050;0,00000;0,00000;0,00000
